"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","Lowest_Taxonomic_Rank","Label"
"FOTU_4654","FOTU_4654","Fungi","Basidiomycota","unidentified","unidentified","unidentified","unidentified","unidentified","Basidiomycota","FOTU_4654_Basidiomycota"
"FOTU_4655","FOTU_4655","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4655_unidentified"
"FOTU_4656","FOTU_4656","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4656_unidentified"
"FOTU_4657","FOTU_4657","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4657_unidentified"
"FOTU_4658","FOTU_4658","Viridiplantae","Anthophyta","Eudicotyledonae","Caryophyllales","Caryophyllaceae","Acanthophyllum","spinosum","Acanthophyllum_spinosum","FOTU_4658_Acanthophyllum_spinosum"
"FOTU_4659","FOTU_4659","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4659_unidentified"
"FOTU_4660","FOTU_4660","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4660_unidentified"
"FOTU_4661","FOTU_4661","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascodesmidaceae","Eleutherascus","lectardii","Eleutherascus_lectardii","FOTU_4661_Eleutherascus_lectardii"
"FOTU_4662","FOTU_4662","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi","FOTU_4662_Fungi"
"FOTU_4663","FOTU_4663","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4663_unidentified"
"FOTU_4664","FOTU_4664","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4664_unidentified"
"FOTU_4665","FOTU_4665","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","unidentified","Ascomycota","FOTU_4665_Ascomycota"
"FOTU_4666","FOTU_4666","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis","Ceratostomella","pyrenaica","Ceratostomella_pyrenaica","FOTU_4666_Ceratostomella_pyrenaica"
"FOTU_4667","FOTU_4667","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4667_unidentified"
"FOTU_4668","FOTU_4668","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4668_unidentified"
"FOTU_4669","FOTU_4669","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4669_unidentified"
"FOTU_4670","FOTU_4670","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4670_unidentified"
"FOTU_4671","FOTU_4671","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4671_unidentified"
"FOTU_4672","FOTU_4672","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4672_unidentified"
"FOTU_4673","FOTU_4673","Viridiplantae","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Viridiplantae","FOTU_4673_Viridiplantae"
"FOTU_4674","FOTU_4674","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","unidentified","Cortinarius","FOTU_4674_Cortinarius"
"FOTU_4675","FOTU_4675","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila","humilis","Podila_humilis","FOTU_4675_Podila_humilis"
"FOTU_4676","FOTU_4676","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi","FOTU_4676_Fungi"
"FOTU_4677","FOTU_4677","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4677_unidentified"
"FOTU_4678","FOTU_4678","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi","FOTU_4678_Fungi"
"FOTU_4679","FOTU_4679","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4679_unidentified"
"FOTU_4680","FOTU_4680","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Pseudosperma","friabile","Pseudosperma_friabile","FOTU_4680_Pseudosperma_friabile"
"FOTU_4681","FOTU_4681","Fungi","Ascomycota","Sordariomycetes","Sordariales","unidentified","unidentified","unidentified","Sordariales","FOTU_4681_Sordariales"
"FOTU_4682","FOTU_4682","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Hypomyces","unidentified","Hypomyces","FOTU_4682_Hypomyces"
"FOTU_4683","FOTU_4683","Fungi","Ascomycota","Lecanoromycetes","GS36","GS36_fam_Incertae_sedis","GS36_gen_Incertae_sedis","unidentified","GS36_gen_Incertae_sedis","FOTU_4683_GS36_gen_Incertae_sedis"
"FOTU_4684","FOTU_4684","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4684_unidentified"
"FOTU_4685","FOTU_4685","Viridiplantae","Anthophyta","unidentified","unidentified","unidentified","unidentified","unidentified","Anthophyta","FOTU_4685_Anthophyta"
"FOTU_4686","FOTU_4686","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Stachybotryaceae_gen_Incertae_sedis","unidentified","Stachybotryaceae_gen_Incertae_sedis","FOTU_4686_Stachybotryaceae_gen_Incertae_sedis"
"FOTU_4687","FOTU_4687","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","invisitata","Trechispora_invisitata","FOTU_4687_Trechispora_invisitata"
"FOTU_4688","FOTU_4688","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4688_unidentified"
"FOTU_4689","FOTU_4689","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4689_unidentified"
"FOTU_4690","FOTU_4690","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4690_unidentified"
"FOTU_4691","FOTU_4691","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4691_unidentified"
"FOTU_4692","FOTU_4692","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4692_unidentified"
"FOTU_4693","FOTU_4693","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","unidentified","Sordariomycetes","FOTU_4693_Sordariomycetes"
"FOTU_4694","FOTU_4694","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4694_unidentified"
"FOTU_4695","FOTU_4695","Fungi","Ascomycota","Sordariomycetes","Xylariales","unidentified","unidentified","unidentified","Xylariales","FOTU_4695_Xylariales"
"FOTU_4696","FOTU_4696","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetales_fam_Incertae_sedis","Spizellomycetales_gen_Incertae_sedis","unidentified","Spizellomycetales_gen_Incertae_sedis","FOTU_4696_Spizellomycetales_gen_Incertae_sedis"
"FOTU_4697","FOTU_4697","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi","FOTU_4697_Fungi"
"FOTU_4698","FOTU_4698","Fungi","Basidiomycota","Microbotryomycetes","Kriegeriales","Kriegeriaceae","Phenoliferia","glacialis","Phenoliferia_glacialis","FOTU_4698_Phenoliferia_glacialis"
"FOTU_4699","FOTU_4699","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiales_fam_Incertae_sedis","Coralloidiomyces","unidentified","Coralloidiomyces","FOTU_4699_Coralloidiomyces"
"FOTU_4700","FOTU_4700","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4700_unidentified"
"FOTU_4701","FOTU_4701","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4701_unidentified"
"FOTU_4702","FOTU_4702","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4702_unidentified"
"FOTU_4703","FOTU_4703","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","unidentified","Cercozoa_gen_Incertae_sedis","FOTU_4703_Cercozoa_gen_Incertae_sedis"
"FOTU_4704","FOTU_4704","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi","FOTU_4704_Fungi"
"FOTU_4705","FOTU_4705","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","unidentified","unidentified","Dictyosporiaceae","FOTU_4705_Dictyosporiaceae"
"FOTU_4706","FOTU_4706","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4706_unidentified"
"FOTU_4707","FOTU_4707","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Amaurodon","mustialaensis","Amaurodon_mustialaensis","FOTU_4707_Amaurodon_mustialaensis"
"FOTU_4708","FOTU_4708","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Nigrogranaceae","Nigrograna","aquatica","Nigrograna_aquatica","FOTU_4708_Nigrograna_aquatica"
"FOTU_4709","FOTU_4709","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4709_unidentified"
"FOTU_4710","FOTU_4710","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4710_unidentified"
"FOTU_4711","FOTU_4711","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4711_unidentified"
"FOTU_4712","FOTU_4712","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4712_unidentified"
"FOTU_4713","FOTU_4713","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Pseudoanungitea","unidentified","Pseudoanungitea","FOTU_4713_Pseudoanungitea"
"FOTU_4714","FOTU_4714","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4714_unidentified"
"FOTU_4715","FOTU_4715","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4715_unidentified"
"FOTU_4716","FOTU_4716","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Torulaceae","Torula","hollandica","Torula_hollandica","FOTU_4716_Torula_hollandica"
"FOTU_4717","FOTU_4717","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4717_unidentified"
"FOTU_4718","FOTU_4718","Viridiplantae","Anthophyta","Eudicotyledonae","Caryophyllales","Caryophyllaceae","Acanthophyllum","spinosum","Acanthophyllum_spinosum","FOTU_4718_Acanthophyllum_spinosum"
"FOTU_4719","FOTU_4719","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi","FOTU_4719_Fungi"
"FOTU_4720","FOTU_4720","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4720_unidentified"
"FOTU_4721","FOTU_4721","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Trichophyton","ajelloi","Trichophyton_ajelloi","FOTU_4721_Trichophyton_ajelloi"
"FOTU_4722","FOTU_4722","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4722_unidentified"
"FOTU_4723","FOTU_4723","Fungi","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","Monochaetia","dimorphospora","Monochaetia_dimorphospora","FOTU_4723_Monochaetia_dimorphospora"
"FOTU_4724","FOTU_4724","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","unidentified","unidentified","unidentified","Tubeufiales","FOTU_4724_Tubeufiales"
"FOTU_4725","FOTU_4725","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4725_unidentified"
"FOTU_4726","FOTU_4726","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","unidentified","Cercozoa_gen_Incertae_sedis","FOTU_4726_Cercozoa_gen_Incertae_sedis"
"FOTU_4727","FOTU_4727","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4727_unidentified"
"FOTU_4728","FOTU_4728","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4728_unidentified"
"FOTU_4729","FOTU_4729","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4729_unidentified"
"FOTU_4730","FOTU_4730","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4730_unidentified"
"FOTU_4731","FOTU_4731","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi","FOTU_4731_Fungi"
"FOTU_4732","FOTU_4732","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi","FOTU_4732_Fungi"
"FOTU_4733","FOTU_4733","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi","FOTU_4733_Fungi"
"FOTU_4734","FOTU_4734","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4734_unidentified"
"FOTU_4735","FOTU_4735","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4735_unidentified"
"FOTU_4736","FOTU_4736","Fungi","Kickxellomycota","Kickxellomycota_cls_Incertae_sedis","Kickxellomycota_ord_Incertae_sedis","Kickxellomycota_fam_Incertae_sedis","Kickxellomycota_gen_Incertae_sedis","unidentified","Kickxellomycota_gen_Incertae_sedis","FOTU_4736_Kickxellomycota_gen_Incertae_sedis"
"FOTU_4737","FOTU_4737","Viridiplantae","Anthophyta","Eudicotyledonae","Fabales","Fabaceae","Cytisus","decumbens","Cytisus_decumbens","FOTU_4737_Cytisus_decumbens"
"FOTU_4738","FOTU_4738","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","griseum","Entoloma_griseum","FOTU_4738_Entoloma_griseum"
"FOTU_4739","FOTU_4739","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4739_unidentified"
"FOTU_4740","FOTU_4740","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4740_unidentified"
"FOTU_4741","FOTU_4741","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4741_unidentified"
"FOTU_4742","FOTU_4742","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","aquaeductuum","Fusicolla_aquaeductuum","FOTU_4742_Fusicolla_aquaeductuum"
"FOTU_4743","FOTU_4743","Fungi","Mortierellomycota","unidentified","unidentified","unidentified","unidentified","unidentified","Mortierellomycota","FOTU_4743_Mortierellomycota"
"FOTU_4744","FOTU_4744","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetales_fam_Incertae_sedis","Trichaptum","biforme","Trichaptum_biforme","FOTU_4744_Trichaptum_biforme"
"FOTU_4745","FOTU_4745","Fungi","Ascomycota","Dothideomycetes","Minutisphaerales","Minutisphaeraceae","Minutisphaera","unidentified","Minutisphaera","FOTU_4745_Minutisphaera"
"FOTU_4746","FOTU_4746","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","unidentified","unidentified","Diatrypaceae","FOTU_4746_Diatrypaceae"
"FOTU_4747","FOTU_4747","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4747_unidentified"
"FOTU_4748","FOTU_4748","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4748_unidentified"
"FOTU_4749","FOTU_4749","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4749_unidentified"
